Otter Pop (Feat. Hollis)|Shawn Wasabi
紅唇 / Koushin (붉은 입술) (Vanilla Mood Original)|Vanilla Mood
Show Yourself (From "Frozen 2"/Soundtrack Version)|Idina Menzel
Some Things Never Change (From "Frozen 2"/Soundtrack Version)|Kristen Bell
Blah Blah Blah (Mix Cut)|Armin Van Buuren
Runaways (Feat. Teemu)|Sam Feldt
#첫사랑|볼빨간사춘기
Eurodancer (Pedrodjdaddy 2018 Remix)|DJ Mangoo
선 (Feat. 우효) (45.7cm)|유승우
그건 아마 우리의 잘못은 아닐 거야|백예린
Lost Stars|Maroon 5
I Need You (Duet With 허각)|지아
